#  log(age)     mini          mact           logl     logt  phase
    6.6500   36.5122337341   35.2735000000    5.4917    4.5413   0.0
    6.6500   38.0800819397   36.5743000000    5.5391    4.5275   0.0
    6.6500   39.4721794128   37.6682000000    5.5800    4.5101   0.0
    6.6500   40.0000000000   38.0724000000    5.5951    4.5032   0.0
    6.6500   40.4442481995   38.4269000000    5.6060    4.4982   0.0
    6.6500   41.4557189941   39.2277000000    5.6303    4.4866   0.0
    6.6500   42.3386840820   39.9194000000    5.6509    4.4763   0.0
    6.6500   43.1674919128   40.5654000000    5.6701    4.4610   0.0
    6.6500   43.8818588257   41.1104000000    5.6864    4.4464   0.0
    6.6500   44.5483436584   41.6082000000    5.7013    4.4323   0.0
    6.6500   45.1031875610   42.0145000000    5.7135    4.4202   0.0
    6.6500   45.6254386902   41.9217000000    5.7243    4.3848   0.0
    6.6500   46.0579833984   41.2999000000    5.7319    4.3287   0.0
    6.6500   46.4667320251   40.5503000000    5.7387    4.2700   0.0
    6.6500   46.8408622742   39.7058000000    5.7446    4.2105   0.0
    6.6500   47.1583137512   38.8720000000    5.7496    4.1570   0.0
    6.6500   47.7964363098   37.5141000000    5.7817    4.4363   0.0
    6.6500   47.8442497253   37.4927000000    5.7950    4.4574   0.0
    6.6500   47.8855476379   37.4747000000    5.8097    4.3948   0.0
    6.6500   47.9031944275   37.4666000000    5.8120    4.3305   0.0
    6.6500   47.9135818481   37.4308000000    5.8150    4.2699   0.0
    6.6500   47.9218788147   37.3839000000    5.8183    4.2057   0.0
    6.6500   47.9288864136   37.3287000000    5.8217    4.1296   0.0
    6.6500   47.9338150024   37.2826000000    5.8242    4.0598   0.0
    6.6500   47.9392662048   37.2105000000    5.8267    3.9924   0.0
    6.6500   47.9449653625   37.1214000000    5.8286    3.9523   0.0
    6.6500   47.9493675232   37.0524000000    5.8297    3.9235   0.0
    6.6500   47.9545555115   36.8872000000    5.8324    3.8949   0.0
    6.6500   47.9587020874   36.7637000000    5.8350    3.8720   0.0
    6.6500   47.9654464722   36.5821000000    5.8391    3.8426   0.0
    6.6500   47.9703750610   36.4493000000    5.8419    3.8265   0.0
    6.6500   47.9734764099   36.3609000000    5.8437    3.8184   0.0
    6.6500   47.9765892029   36.2687000000    5.8454    3.8113   0.0
    6.6500   47.9789237976   36.1994000000    5.8467    3.8070   0.0
    6.6500   47.9817733765   36.1147000000    5.8480    3.8017   0.0
    6.6500   47.9835853577   36.0681000000    5.8487    3.7990   0.0
    6.6500   47.9859161377   36.0129000000    5.8496    3.7959   0.0
    6.6500   47.9877281189   35.9698000000    5.8503    3.7934   0.0
    6.6500   47.9898109436   35.9205000000    5.8510    3.7906   0.0
    6.6500   47.9916191101   35.8674000000    5.8514    3.7891   0.0
    6.6500   47.9936943054   35.8060000000    5.8519    3.7874   0.0
    6.6500   47.9955062866   35.7525000000    5.8524    3.7859   0.0
    6.6500   47.9975814819   35.6912000000    5.8529    3.7842   0.0
    6.6500   47.9993934631   35.6375000000    5.8533    3.7827   0.0
    6.6500   48.0014610291   35.5763000000    5.8538    3.7810   0.0
    6.6500   48.0032806396   35.5226000000    5.8543    3.7795   0.0
    6.6500   48.0053482056   35.4637000000    5.8548    3.7787   0.0
    6.6500   48.0079421997   35.3901000000    5.8553    3.7778   0.0
    6.6500   48.0105247498   35.3166000000    5.8559    3.7768   0.0
    6.6500   48.0136337280   35.2284000000    5.8566    3.7757   0.0
    6.6500   48.0175247192   35.1178000000    5.8574    3.7744   0.0
    6.6500   48.0214042664   35.0076000000    5.8582    3.7730   0.0
    6.6500   48.0255470276   34.8899000000    5.8591    3.7716   0.0
    6.6500   48.0296859741   34.7723000000    5.8600    3.7702   0.0
