#  log(age)     mini          mact           logl     logt  phase
    6.6500   46.0836944580   30.8642000000    5.7886    3.9871   0.0
    6.6500   46.0851898193   30.7677000000    5.7942    4.0235   0.0
    6.6500   46.0859451294   30.7418000000    5.7926    4.0468   0.0
    6.6500   46.0866203308   30.7186000000    5.7917    4.0563   0.0
    6.6500   46.0880432129   30.6694000000    5.7897    4.0857   0.0
    6.6500   46.0888633728   30.6549000000    5.7894    4.1025   0.0
    6.6500   46.0910415649   30.6126000000    5.7865    4.1026   0.0
    6.6500   46.1075782776   30.3598000000    5.7879    4.0658   0.0
    6.6500   46.1698837280   29.5193000000    5.8012    3.9307   0.0
    6.6500   46.1916961670   29.2442000000    5.8025    3.9257   0.0
    6.6500   46.2367858887   28.7473000000    5.8063    3.9098   0.0
    6.6500   46.2666015625   28.3251000000    5.8086    3.8972   0.0
    6.6500   46.2814369202   28.0896000000    5.8093    3.8898   0.0
    6.6500   46.2962493896   27.7935000000    5.8098    3.8820   0.0
    6.6500   46.4279747009   26.0815000000    5.8003    3.9495   0.0
    6.6500   46.4942359924   25.5301000000    5.7973    3.9927   0.0
    6.6500   46.5676765442   24.9774000000    5.7946    4.0341   0.0
    6.6500   46.7134628296   24.0805000000    5.7835    4.1216   0.0
    6.6500   50.0937881470   19.0128000000    5.7381    4.6264   0.0
    6.6500   50.1254119873   18.9812000000    5.7383    4.6246   0.0
    6.6500   50.1585884094   18.9478000000    5.7383    4.6335   0.0
    6.6500   50.1902961731   18.9158000000    5.7384    4.6313   0.0
    6.6500   50.2235565186   18.8821000000    5.7384    4.6402   0.0
    6.6500   50.2551307678   18.8500000000    5.7386    4.6381   0.0
    6.6500   50.2882537842   18.8163000000    5.7386    4.6455   0.0
    6.6500   50.9539451599   18.1105000000    5.7404    4.7002   0.0
    6.6500   51.0160865784   18.0383000000    5.7406    4.7059   0.0
    6.6500   51.1399269104   17.8936000000    5.7408    4.7189   0.0
    6.6500   51.2619018555   17.7616000000    5.7410    4.7326   0.0
    6.6500   51.3534812927   17.6613000000    5.7411    4.7442   0.0
    6.6500   51.4136619568   17.5949000000    5.7412    4.7529   0.0
    6.6500   51.4735221863   17.5284000000    5.7412    4.7611   0.0
    6.6500   51.5332870483   17.4616000000    5.7413    4.7691   0.0
    6.6500   51.5925216675   17.3950000000    5.7414    4.7767   0.0
    6.6500   51.6514244080   17.3284000000    5.7414    4.7852   0.0
    6.6500   51.7100181580   17.2617000000    5.7414    4.7945   0.0
    6.6500   51.7682762146   17.1962000000    5.7415    4.8037   0.0
    6.6500   51.8264312744   17.1303000000    5.7415    4.8125   0.0
    6.6500   51.8838005066   17.0649000000    5.7415    4.8227   0.0
    6.6500   51.9408302307   16.9995000000    5.7415    4.8328   0.0
    6.6500   51.9885673523   16.9445000000    5.7415    4.8400   0.0
    6.6500   52.0451278687   16.8790000000    5.7415    4.8493   0.0
    6.6500   52.1008911133   16.8140000000    5.7415    4.8582   0.0
    6.6500   52.1565361023   16.7488000000    5.7414    4.8659   0.0
    6.6500   52.2116050720   16.6839000000    5.7414    4.8736   0.0
    6.6500   52.2658538818   16.6197000000    5.7414    4.8811   0.0
    6.6500   52.3467254639   16.5234000000    5.7413    4.8910   0.0
    6.6500   52.4530754089   16.3956000000    5.7412    4.9032   0.0
    6.6500   52.5809555054   16.2402000000    5.7410    4.9173   0.0
    6.6500   52.7316246033   16.0550000000    5.7407    4.9328   0.0
    6.6500   52.9337120056   15.8028000000    5.7402    4.9520   0.0
    6.6500   53.1171684265   15.5704000000    5.7398    4.9688   0.0
    6.6500   53.2787246704   15.3631000000    5.7394    4.9840   0.0
    6.6500   53.5088500977   15.0634000000    5.7388    5.0047   0.0
    6.6500   53.7513961792   14.7422000000    5.7382    5.0262   0.0
    6.6500   53.9531021118   14.4709000000    5.7378    5.0448   0.0
    6.6500   53.9703750610   14.4475000000    5.7383    5.0577   0.0
    6.6500   53.9807243347   14.4335000000    5.7386    5.0645   0.0
    6.6500   53.9868965149   14.4251000000    5.7389    5.0686   0.0
    6.6500   53.9962844849   14.4124000000    5.7392    5.0743   0.0
    6.6500   54.0133209229   14.3893000000    5.7398    5.0827   0.0
    6.6500   54.0199890137   14.3802000000    5.7400    5.0858   0.0
    6.6500   54.0335922241   14.3601000000    5.7404    5.0917   0.0
    6.6500   54.0417442322   14.3481000000    5.7407    5.0952   0.0
    6.6500   54.0538635254   14.3302000000    5.7409    5.1005   0.0
    6.6500   54.0612907410   14.3192000000    5.7410    5.1037   0.0
