#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.70    0.6000000238  0.6000  -0.8341   3.7095   4.8342   0.4787   0.0000
    6.70    0.6999999881  0.7000  -0.5341   3.7480   4.7550   0.4787   0.0000
    6.70    0.8000000119  0.8000  -0.2584   3.7843   4.6826   0.4787   0.0000
    6.70    0.8999999762  0.9000  -0.0142   3.8158   4.6158   0.4787   0.0000
    6.70    1.0000000000  1.0000   0.2015   3.8464   4.5682   0.4787   0.0000
    6.70    1.1500000954  1.1500   0.4753   3.8995   4.5676   0.4787   0.0000
    6.70    1.2500000000  1.2500   0.6392   3.9361   4.5861   0.4787   0.0000
    6.70    1.3999999762  1.4000   0.8546   3.9846   4.6140   0.4787   0.0000
    6.70    1.5000000000  1.5000   0.9797   4.0127   4.6314   0.4787   0.0000
    6.70    1.6000000238  1.6000   1.0965   4.0385   4.6455   0.4787   0.0000
    6.70    1.7250000238  1.7250   1.2294   4.0679   4.6630   0.4787   0.0000
    6.70    1.7599999905  1.7600   1.2648   4.0755   4.6668   0.4787   0.0000
    6.70    1.7999999523  1.8000   1.3040   4.0837   4.6702   0.4787   0.0000
    6.70    1.8999999762  1.9000   1.3976   4.1033   4.6784   0.4787   0.0000
    6.70    2.0000000000  2.0000   1.4852   4.1215   4.6858   0.4787   0.0000
    6.70    2.2000000477  2.2000   1.6372   4.1536   4.7037   0.4787   0.0000
    6.70    2.5000000000  2.5000   1.8365   4.1916   4.7117   0.4787   0.0000
    6.70    3.0000000000  3.0000   2.1064   4.2384   4.7082   0.4787   0.0000
    6.70    3.5000000000  3.5000   2.3292   4.2738   4.6940   0.4787   0.0000
    6.70    4.0000000000  4.0000   2.5179   4.3019   4.6759   0.4787   0.0000
    6.70    4.5000000000  4.5000   2.6826   4.3262   4.6593   0.4787   0.0000
    6.70    4.7522959709  4.7523   2.7579   4.3370   4.6511   0.4787   0.0000
    6.70    5.0000000000  5.0000   2.8280   4.3474   4.6446   0.4787   0.0000
    6.70    6.5000000000  6.5000   3.1828   4.3991   4.6106   0.4787   0.0000
    6.70    9.5000000000  9.5000   3.6576   4.4648   4.5633   0.4787   0.0000
    6.70   11.0000000000 10.9923   3.8036   4.4849   4.5612   0.4787   0.0000
    6.70   11.6715888977 11.6627   3.8951   4.4968   4.5428   0.4787   0.0000
    6.70   14.8617820740 14.8463   4.2833   4.5451   4.4526   0.4787   0.0000
    6.70   17.1843929291 17.1633   4.5305   4.5728   4.3792   0.4787   0.0000
    6.70   17.5000000000 17.4780   4.5633   4.5758   4.3666   0.4787   0.0000
    6.70   22.9824504852 22.9278   4.9126   4.6049   4.2515   0.4787   0.0000
    6.70   28.2044982910 28.0993   5.1885   4.6139   4.0999   0.4787   0.0000
    6.70   32.3337745667 32.1732   5.3807   4.6030   3.9229   0.4787   0.0000
    6.70   35.0000000000 34.7779   5.4959   4.5819   3.7572   0.4787   0.0000
    6.70   38.5872268677 38.2340   5.6039   4.5441   3.5390   0.4787   0.0000
    6.70   40.6824951172 40.2421   5.6639   4.5087   3.3595   0.4787   0.0000
    6.70   42.2234535217 41.6863   5.7087   4.4800   3.2151   0.4787   0.0000
    6.70   42.2708778381 41.7276   5.7102   4.4793   3.2116   0.4787   0.0000
    6.70   42.5754699707 42.0033   5.7265   4.4926   3.2511   0.4787   0.0000
    6.70   42.6266899109 42.0489   5.7386   4.5084   3.3028   0.4787   0.0000
    6.70   42.6464538574 42.0663   5.7462   4.5183   3.3350   0.4787   0.0000
    6.70   42.9457855225 42.3368   5.7757   4.4497   3.0339   0.4787   0.0000
    6.70   43.2404556274 42.6023   5.7883   4.4228   2.9163   0.4787   0.0000
    6.70   43.4370880127 42.7792   5.7947   4.3996   2.8188   0.4787   0.0000
    6.70   43.6067962646 42.9316   5.7996   4.3783   2.7306   0.4787   0.0000
    6.70   43.8346061707 43.1353   5.8059   4.3476   2.6032   0.4787   0.0000
    6.70   44.0376548767 43.2971   5.8114   4.3188   2.4842   0.4787   0.0000
    6.70   44.2758407593 43.4829   5.8174   4.2812   2.3298   0.4787   0.0000
    6.70   44.7921218872 43.8602   5.8298   4.1669   1.8640   0.4787   0.0000
    6.70   45.3744621277 43.2720   5.8070   3.8241   0.5095   0.4787   0.0000
    6.70   45.4207611084 43.1556   5.8033   3.8127   0.4667   0.4787   0.0000
    6.70   45.4718704224 43.0169   5.8049   3.8140   0.4686   0.4787   0.0000
    6.70   45.5741615295 42.7327   5.8084   3.8141   0.4628   0.4787   0.0000
    6.70   45.7572898865 42.2024   5.8149   3.8114   0.4400   0.4787   0.0000
    6.70   46.1448326111 40.9898   5.8292   3.8024   0.3769   0.4787   0.0000
    6.70   46.3432006836 40.3125   5.8350   3.7973   0.3438   0.4787   0.0000
    6.70   46.5061225891 39.7300   5.8389   3.7931   0.3168   0.4787   0.0000
    6.70   46.6405410767 39.2335   5.8420   3.7895   0.2937   0.4787   0.0000
    6.70   46.7578239441 38.7888   5.8448   3.7863   0.2732   0.4787   0.0000
    6.70   46.8574562073 38.4026   5.8472   3.7835   0.2552   0.4787   0.0000
    6.70   46.9477729797 38.0459   5.8493   3.7809   0.2387   0.4787   0.0000
    6.70   47.0319213867 37.7080   5.8512   3.7784   0.2230   0.4787   0.0000
    6.70   47.1122589111 37.3803   5.8530   3.7760   0.2077   0.4787   0.0000
    6.70   47.1712875366 37.1365   5.8544   3.7741   0.1956   0.4787   0.0000
    6.70   47.2286224365 36.8972   5.8557   3.7721   0.1837   0.4787   0.0000
    6.70   47.2749595642 36.7052   5.8569   3.7707   0.1746   0.4787   0.0000
    6.70   47.3106269836 36.5551   5.8580   3.7696   0.1675   0.4787   0.0000
    6.70   47.3372192383 36.4426   5.8588   3.7686   0.1611   0.4787   0.0000
    6.70   47.3580589294 36.3541   5.8594   3.7675   0.1550   0.4787   0.0000
    6.70   47.3732948303 36.2847   5.8598   3.7663   0.1491   0.4787   0.0000
    6.70   47.3832550049 36.2392   5.8601   3.7652   0.1440   0.4787   0.0000
    6.70   47.3896865845 36.2099   5.8602   3.7641   0.1391   0.4787   0.0000
    6.70   47.3934669495 36.1926   5.8602   3.7629   0.1339   0.4787   0.0000
    6.70   47.3952827454 36.1843   5.8601   3.7617   0.1293   0.4787   0.0000
    6.70   47.3966789246 36.1779   5.8601   3.7606   0.1248   0.4787   0.0000
    6.70   47.3981285095 36.1713   5.8601   3.7591   0.1188   0.4787   0.0000
    6.70   47.3991165161 36.1661   5.8601   3.7579   0.1139   0.4787   0.0000
    6.70   47.4001045227 36.1610   5.8601   3.7565   0.1081   0.4787   0.0000
    6.70   47.4010391235 36.1562   5.8601   3.7549   0.1019   0.4787   0.0000
    6.70   47.4020195007 36.1510   5.8601   3.7532   0.0946   0.4787   0.0000
    6.70   47.4030075073 36.1459   5.8601   3.7512   0.0867   0.4787   0.0000
    6.70   47.4034729004 36.1435   5.8601   3.7501   0.0825   0.4787   0.0000
    6.70   47.4039421082 36.1410   5.8601   3.7490   0.0779   0.4787   0.0000
    6.70   47.4044075012 36.1386   5.8602   3.7478   0.0730   0.4787   0.0000
    6.70   47.4049224854 36.1359   5.8602   3.7465   0.0677   0.4787   0.0000
    6.70   47.4053955078 36.1335   5.8602   3.7453   0.0628   0.4787   0.0000
    6.70   47.4063758850 36.1284   5.8602   3.7432   0.0546   0.4787   0.0000
    6.70   47.4073104858 36.1235   5.8602   3.7414   0.0471   0.4787   0.0000
    6.70   47.4082412720 36.1187   5.8601   3.7395   0.0397   0.4787   0.0000
    6.70   47.4091758728 36.1138   5.8601   3.7380   0.0337   0.4787   0.0000
    6.70   47.4101066589 36.1090   5.8599   3.7367   0.0285   0.4787   0.0000
    6.70   47.4113540649 36.1025   5.8597   3.7352   0.0226   0.4787   0.0000
    6.70   47.4123916626 36.0971   5.8592   3.7340   0.0181   0.4787   0.0000
    6.70   47.4135322571 36.0912   5.8586   3.7327   0.0135   0.4787   0.0000
#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.75    0.1500000060  0.1500  -2.3036   3.5907   5.2265   0.4787   0.0000
    6.75    0.2000000030  0.2000  -2.0080   3.6158   5.1562   0.4787   0.0000
    6.75    0.2500000000  0.2500  -1.7958   3.6285   5.0917   0.4787   0.0000
    6.75    0.3000000119  0.3000  -1.6574   3.6372   5.0673   0.4787   0.0000
    6.75    0.3499999940  0.3500  -1.5359   3.6446   5.0424   0.4787   0.0000
    6.75    0.4000000060  0.4000  -1.4187   3.6513   5.0099   0.4787   0.0000
    6.75    0.4499999881  0.4500  -1.2816   3.6596   4.9572   0.4787   0.0000
    6.75    0.5000000000  0.5000  -1.1516   3.6693   4.9117   0.4787   0.0000
    6.75    0.5500000119  0.5500  -1.0014   3.6842   4.8626   0.4787   0.0000
    6.75    0.6000000238  0.6000  -0.8340   3.7095   4.8342   0.4787   0.0000
    6.75    0.6999999881  0.7000  -0.5341   3.7480   4.7550   0.4787   0.0000
    6.75    0.8000000119  0.8000  -0.2583   3.7843   4.6826   0.4787   0.0000
    6.75    0.8999999762  0.9000  -0.0141   3.8159   4.6158   0.4787   0.0000
    6.75    1.0000000000  1.0000   0.2016   3.8464   4.5681   0.4787   0.0000
    6.75    1.1500000954  1.1500   0.4753   3.8995   4.5675   0.4787   0.0000
    6.75    1.2500000000  1.2500   0.6393   3.9361   4.5860   0.4787   0.0000
    6.75    1.3999999762  1.4000   0.8547   3.9846   4.6139   0.4787   0.0000
    6.75    1.5000000000  1.5000   0.9797   4.0127   4.6313   0.4787   0.0000
    6.75    1.6000000238  1.6000   1.0966   4.0384   4.6453   0.4787   0.0000
    6.75    1.7250000238  1.7250   1.2295   4.0679   4.6628   0.4787   0.0000
    6.75    1.7599999905  1.7600   1.2649   4.0755   4.6666   0.4787   0.0000
    6.75    1.7999999523  1.8000   1.3041   4.0837   4.6699   0.4787   0.0000
    6.75    1.8999999762  1.9000   1.3976   4.1033   4.6782   0.4787   0.0000
    6.75    2.0000000000  2.0000   1.4852   4.1214   4.6856   0.4787   0.0000
    6.75    2.2000000477  2.2000   1.6373   4.1535   4.7030   0.4787   0.0000
    6.75    2.5000000000  2.5000   1.8366   4.1914   4.7107   0.4787   0.0000
    6.75    3.0000000000  3.0000   2.1068   4.2381   4.7065   0.4787   0.0000
    6.75    3.5000000000  3.5000   2.3299   4.2734   4.6918   0.4787   0.0000
    6.75    4.0000000000  4.0000   2.5189   4.3016   4.6734   0.4787   0.0000
    6.75    4.4037637711  4.4038   2.6536   4.3213   4.6595   0.4787   0.0000
    6.75    4.5000000000  4.5000   2.6840   4.3258   4.6564   0.4787   0.0000
    6.75    5.0000000000  5.0000   2.8295   4.3473   4.6427   0.4787   0.0000
    6.75    6.5000000000  6.5000   3.1855   4.3990   4.6075   0.4787   0.0000
    6.75    9.5000000000  9.5000   3.6625   4.4646   4.5574   0.4787   0.0000
    6.75   11.0000000000 10.9913   3.8090   4.4846   4.5545   0.4787   0.0000
    6.75   11.0288877487 11.0202   3.8130   4.4851   4.5537   0.4787   0.0000
    6.75   14.0434122086 14.0282   4.2007   4.5335   4.4644   0.4787   0.0000
    6.75   16.2381267548 16.2171   4.4476   4.5613   4.3916   0.4787   0.0000
    6.75   17.5000000000 17.4754   4.5837   4.5738   4.3378   0.4787   0.0000
    6.75   20.6293811798 20.5861   4.7965   4.5911   4.2655   0.4787   0.0000
    6.75   25.3167667389 25.2318   5.0744   4.6015   4.1174   0.4787   0.0000
    6.75   29.0232620239 28.8921   5.2687   4.5923   3.9453   0.4787   0.0000
    6.75   31.9588947296 31.7563   5.4119   4.5653   3.7350   0.4787   0.0000
    6.75   34.2552337646 33.9455   5.5200   4.5241   3.4911   0.4787   0.0000
    6.75   35.0000000000 34.6494   5.5552   4.5056   3.3907   0.4787   0.0000
    6.75   35.9146232605 35.5216   5.5872   4.4883   3.3006   0.4787   0.0000
    6.75   35.9549636841 35.5596   5.5887   4.4879   3.2979   0.4787   0.0000
    6.75   36.2544021606 35.8426   5.6055   4.4996   3.3314   0.4787   0.0000
    6.75   36.3047637939 35.8897   5.6192   4.5169   3.3874   0.4787   0.0000
    6.75   36.3241996765 35.9077   5.6287   4.5290   3.4264   0.4787   0.0000
    6.75   36.5685653687 36.1326   5.6600   4.4585   3.1160   0.4787   0.0000
    6.75   36.8091125488 36.3535   5.6729   4.4469   3.0592   0.4787   0.0000
    6.75   36.9696159363 36.5006   5.6787   4.4320   2.9955   0.4787   0.0000
    6.75   37.1081352234 36.6274   5.6831   4.4178   2.9359   0.4787   0.0000
    6.75   37.2940711975 36.7973   5.6894   4.3962   2.8450   0.4787   0.0000
    6.75   37.4597892761 36.9434   5.6954   4.3765   2.7622   0.4787   0.0000
    6.75   37.6541709900 37.1128   5.7022   4.3526   2.6617   0.4787   0.0000
    6.75   38.0754661560 37.4698   5.7159   4.2875   2.3916   0.4787   0.0000
    6.75   38.5505943298 37.5122   5.6880   3.9638   1.1255   0.4787   0.0000
    6.75   38.5907135010 37.4953   5.6878   3.9639   1.1260   0.4787   0.0000
    6.75   38.6350021362 37.4724   5.6888   3.9688   1.1440   0.4787   0.0000
    6.75   38.7236366272 37.4213   5.6916   3.9723   1.1547   0.4787   0.0000
    6.75   38.8823242188 37.3122   5.6974   3.9707   1.1413   0.4787   0.0000
    6.75   39.2181549072 37.0053   5.7105   3.9575   1.0719   0.4787   0.0000
    6.75   39.3900566101 36.7952   5.7169   3.9487   1.0276   0.4787   0.0000
    6.75   39.5312500000 36.6003   5.7218   3.9406   0.9879   0.4787   0.0000
