#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.65   47.1411514282 32.6344   5.8156   3.9858   1.0253   0.4787   0.0000
    6.65   47.1446838379 32.5722   5.8160   3.9788   0.9960   0.4787   0.0000
    6.65   47.1509971619 32.4727   5.8166   3.9708   0.9621   0.4787   0.0000
    6.65   47.1540222168 32.4250   5.8170   3.9666   0.9444   0.4787   0.0000
    6.65   47.1600761414 32.3296   5.8177   3.9586   0.9102   0.4787   0.0000
    6.65   47.1661262512 32.2413   5.8184   3.9516   0.8806   0.4787   0.0000
    6.65   47.1721687317 32.1606   5.8192   3.9455   0.8542   0.4787   0.0000
    6.65   47.1779594421 32.0827   5.8199   3.9402   0.8313   0.4787   0.0000
    6.65   47.1839942932 32.0015   5.8207   3.9352   0.8094   0.4787   0.0000
    6.65   47.1927909851 31.8774   5.8218   3.9278   0.7767   0.4787   0.0000
    6.65   47.2045898438 31.7109   5.8232   3.9177   0.7327   0.4787   0.0000
    6.65   47.2191314697 31.5437   5.8246   3.9100   0.6983   0.4787   0.0000
    6.65   47.2451553345 31.1822   5.8267   3.8996   0.6495   0.4787   0.0000
    6.65   47.2957344055 30.3061   5.8292   3.8778   0.5474   0.4787   0.0000
    6.65   47.3270034790 29.7083   5.8293   3.8822   0.5566   0.4787   0.0000
    6.65   47.3578338623 29.1193   5.8294   3.8891   0.5750   0.4787   0.0000
    6.65   47.3693809509 28.8809   5.8295   3.8940   0.5909   0.4787   0.0000
    6.65   47.3874206543 28.5406   5.8294   3.8993   0.6075   0.4787   0.0000
    6.65   47.4021530151 28.2656   5.8291   3.9047   0.6249   0.4787   0.0000
    6.65   47.4118156433 28.0762   5.8286   3.9092   0.6403   0.4787   0.0000
    6.65   47.4200553894 27.9291   5.8300   3.9605   0.8419   0.4787   0.0000
    6.65   47.4229049683 27.8740   5.8292   3.9655   0.8619   0.4787   0.0000
    6.65   47.4316253662 27.7940   5.8288   3.9711   0.8836   0.4787   0.0000
    6.65   47.4549407959 27.5796   5.8286   3.9801   0.9163   0.4787   0.0000
    6.65   47.5013237000 27.2091   5.8301   4.1165   1.4547   0.4787   0.0000
    6.65   47.5538253784 26.9620   5.8313   4.1415   1.5494   0.4787   0.0000
    6.65   47.5952415466 26.8043   5.8325   4.1531   1.5922   0.4787   0.0000
    6.65   47.6220474243 26.7295   5.8322   4.1669   1.6466   0.4787   0.0000
    6.65   47.6864356995 26.5499   5.8315   4.2033   1.7899   0.4787   0.0000
    6.65   47.7899360657 26.3953   5.8242   4.2720   2.0693   0.4787   0.0000
    6.65   47.8923530579 26.2407   5.8167   4.3398   2.3455   0.4787   0.0000
    6.65   48.0138740540 26.0978   5.8124   4.3916   2.5547   0.4787   0.0000
    6.65   48.1599197388 25.9922   5.8141   4.4069   2.6126   0.4787   0.0000
    6.65   48.8451957703 25.5019   5.8207   4.4692   2.8469   0.4787   0.0000
    6.65   49.4201698303 25.0522   5.8248   4.5153   3.0191   0.4787   0.0000
    6.65   49.8944778442 24.6719   5.8298   4.5486   3.1409   0.4787   0.0000
    6.65   50.3037872314 24.3185   5.8355   4.5761   3.2387   0.4787   0.0000
    6.65   50.6440315247 24.0105   5.8405   4.5997   3.3227   0.4787   0.0000
    6.65   50.9235992432 23.7735   5.8450   4.6201   3.3956   0.4787   0.0000
    6.65   51.1713867188 23.5536   5.8498   4.6449   3.4859   0.4787   0.0000
    6.65   51.3566589355 23.3813   5.8532   4.6625   3.5496   0.4787   0.0000
    6.65   51.5146102905 23.2121   5.8559   4.6777   3.6047   0.4787   0.0000
    6.65   51.6575164795 23.0384   5.8581   4.6919   3.6558   0.4787   0.0000
    6.65   51.7595520020 22.9005   5.8595   4.7025   3.6945   0.4787   0.0000
    6.65   51.8320007324 22.8019   5.8600   4.7101   3.7222   0.4787   0.0000
    6.65   51.9310836792 22.6337   5.8603   4.7219   3.7660   0.4787   0.0000
    6.65   51.9742431641 22.5306   5.8596   4.7264   3.7828   0.4787   0.0000
    6.65   52.0083007812 22.4292   5.8585   4.7295   3.7942   0.4787   0.0000
    6.65   52.0357856750 22.3271   5.8575   4.7318   3.8024   0.4787   0.0000
    6.65   52.0548477173 22.2575   5.8567   4.7327   3.8056   0.4787   0.0000
    6.65   52.0706291199 22.1949   5.8561   4.7329   3.8058   0.4787   0.0000
    6.65   52.0840263367 22.1373   5.8554   4.7327   3.8044   0.4787   0.0000
    6.65   52.0954132080 22.0841   5.8549   4.7319   3.8009   0.4787   0.0000
    6.65   52.1047821045 22.0497   5.8544   4.7308   3.7963   0.4787   0.0000
    6.65   52.1126708984 22.0039   5.8541   4.7293   3.7898   0.4787   0.0000
    6.65   52.1187438965 21.9765   5.8538   4.7279   3.7836   0.4787   0.0000
    6.65   52.1248054504 21.9493   5.8535   4.7263   3.7769   0.4787   0.0000
    6.65   52.1310577393 21.9214   5.8532   4.7249   3.7711   0.4787   0.0000
    6.65   52.1371231079 21.8940   5.8530   4.7236   3.7658   0.4787   0.0000
    6.65   52.1431884766 21.8521   5.8527   4.7225   3.7607   0.4787   0.0000
    6.65   52.1514701843 21.8152   5.8524   4.7216   3.7568   0.4787   0.0000
    6.65   52.1617660522 21.7695   5.8520   4.7210   3.7538   0.4787   0.0000
    6.65   52.1740913391 21.7179   5.8515   4.7208   3.7527   0.4787   0.0000
    6.65   52.1845855713 21.6697   5.8511   4.7206   3.7512   0.4787   0.0000
    6.65   52.1950874329 21.6215   5.8506   4.7204   3.7499   0.4787   0.0000
    6.65   52.2057647705 21.5877   5.8499   4.7201   3.7489   0.4787   0.0000
    6.65   52.2446594238 21.4209   5.8454   4.7249   3.7689   0.4787   0.0000
    6.65   52.2468681335 21.4115   5.8530   4.7286   3.7762   0.4787   0.0000
    6.65   52.2470550537 21.4107   5.8551   4.7309   3.7830   0.4787   0.0000
    6.65   52.3938140869 20.7864   5.8496   4.7550   3.8721   0.4787   0.0000
    6.65   52.4529495239 20.5212   5.8495   4.7668   3.9140   0.4787   0.0000
    6.65   52.5162811279 20.2381   5.8490   4.7811   3.9657   0.4787   0.0000
    6.65   52.5412025452 20.1221   5.8484   4.7876   3.9895   0.4787   0.0000
    6.65   52.5711631775 19.9976   5.8471   4.7946   4.0161   0.4787   0.0000
    6.65   52.5743217468 19.9771   5.8474   4.7973   4.0263   0.4787   0.0000
    6.65   52.5761909485 19.9650   5.8475   4.7998   4.0360   0.4787   0.0000
    6.65   52.5773048401 19.9577   5.8475   4.8031   4.0492   0.4787   0.0000
